-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$ModVersion{}{}	Completionist Version:{}{}
$DLLVersion{}	DLL Plugin Version:{}

$Edition1	 (Anniversary Edition)
$Edition2	 (Special Edition)

$AuthorThanks0	Developed by K1ngTr4cker
$AuthorThanks1	Thanks for downloading Completionist: Skyrim Completion Tracker
$AuthorThanks2	an automatic MCM quest and item tracker for Skyrim & its DLC.

$BusyMessage	Completionist is currently busy, please back out of the menu back to the game and wait for a complete notification.

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$Processing	Processing
$Waiting	Waiting
$ProccessingFirstTime	When toggling quests manually, if 'Immediate Refresh' is disabled Completionist will apply a 'Waiting' tag to the quest and will update the page when it is next opened.  
$Complete	Complete
$CompleteM	Complete(M)

$ConfirmYes	Yes
$ConfirmNo	No

$ConfirmY	Ok
$ConfirmN	Cancel
$ConfirmM	Move
$ConfirmC	Close
$ConfirmP	Place

$Enabled	Enabled
$Disabled	Disabled

$ClearPageSelect	Disabled

$ConfirmOwnership{}	Would you like to set {} as owned?
$RemoveOwnership{}	Would you like to set {} as unowned?

$ConfirmFound{}	Would you like to set {} as found?
$RemoveFound{}	Would you like to set {} as not found?

$ConfirmCaught{}	Would you like to set {} as caught?
$RemoveCaught{}	Would you like to set {} as not caught?

$PlaceMarkerMessage{}	Would you like to place a Marker at {}
$State_ShortcutsHead	Shortcut settings:
$State_ShortcutsText	MCM Shortcuts:
$State_ShortcutsInfo	Controller for MCM shortcuts\n Default: Disabled
$State_ShortcutsMainText	Main MCM Shortcut:
$State_ShortcutsMiscText	Misc MCM Shortcut:
$State_ShortcutsMainInfo	Use this menu to select which page you would like to automatically jump to when opening the Main Quest Tracking MCM.\n Default: Disabled
$State_ShortcutsMiscInfo	Use this menu to select which page you would like to automatically jump to when opening the Misc Tracking MCM.\n Default: Disabled

$State_ForceRefreshText	Immediate Refresh:
$State_ForceRefreshInfo	Immediately move quests to their new sections 'Available / In-Progess / Complete' when toggling them manually.\n This option will be automatically disabled if 'MCM Shortcuts' is enabled due to incompatibility.\n Default: Disabled
$State_ForceRefreshError	Unable to activate 'Immediate Refresh' while 'MCM Shortcuts' is Enabled.

$State_MiscSettingsHead	Misc Settings:
$State_MarkerDetectionText	Quest Marker (Radius):
$State_MarkerDetectionInfo	When you place a quest marker at an undiscovered location in the MCM this option controls how close the player has to be to the marker before it disappears.

$State_RadiantCounterText	Favor Quests
$State_RadiantCounterInfo	Quests Affected: Sell Chopped Wood, Sell Mined Ore, Gold to a Beggar, Drinks to a Drunk, Sell Harvested Crops.\n Default: 5. 

$State_BountyCounterText	Bounty Quests
$State_BountyCounterInfo	Quests Affected: Kill the Bandit Leader, Kill the Giant, Kill the Dragon, Kill the Forsworn Leader.\n Default: 5. 

$State_TGRCounterText	Thieves Guild Quests
$State_TGRCounterInfo	Quests Affected: The Bedlam Job, The Burglary Job, The Fishing Job, The Heist Job, The Numbers Job, The Shill Job, The Sweep Job.\n Default: 5. 

$State_DLC1CounterText	Dawnguard Quests
$State_DLC1CounterInfo	Quests Affected: \nDawnguard: A Jarl's Justice, Cleansing Light, Hide and Seek, Hunting the Monster, Preemptive Strike, Rescue. \nVampires: Ancient Power, Culling the Beast, Deceiving the Herd, New Allegiances, Protecting the Bloodline, The Hunt. \nDefault: 5. 

$State_LOTDCounterText	Legacy of the Draonborn Quests
$State_LOTDCounterInfo	Quests Affected: Finders Keepers, Research Project, One Man's Junk, Kyre's Ore Prospect, Relic Hunt.\n Default: 5. 

$State_VigilantCounterText	Vigilant Quests
$State_VigilantCounterInfo	Quests Affected: All 13 Quests on the 'Vigilant Radiant Quests' Page.\n Default: 5. 

$State_MarkerDetectionCancelText	Quest Marker (Cancel):
$State_MarkerDetectionCancelInfo	Cancels the current Quest Marker objective.

$CustomPickerChoiceDefault	Select Patch:
$CustomPickerText	Patch Selection:
$CustomPickerTextNA	No Custom Patches Found
$CustomPickerInfo	Use this menu to select which custom patch you would like to track on this page.

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$State_ProfileHead	Profile Settings:
$State_ProfileText1	JSON - User Profile
$State_ProfileText2	Restore Defaults
$State_ProfileText3	Restore

$SavePreset	Save Profile
$LoadPreset	Load Profile
$PapUtilError	PapyrusUtil Not Found

$SaveProfileTitleText	=== Saving Profile ===
$LoadProfileTitleText	=== Loading Profile ===
$LoadDefaultTitleText	=== Loading Defaults ===

$SaveProfileTitleInfo	Save current settings to Data > SKSE > Plugins > CompletionistData > Profiles > CompConfig.json (Requires PapyrusUtil)
$LoadProfileTitleInfo	Load saved settings from Data > SKSE > Plugins > CompletionistData > Profiles > CompConfig.json (Requires PapyrusUtil)
$LoadDefaultTitleInfo	Restore MCM Options To Default.

$LoadDefaultTitleMessage	This will Restore all MCM options back to default including moreHUD icons. Do you want to Restore now?

$ProfileAutoLoadSuccess	Completionist: Profile successfully loaded from file
$ProfileAutoLoadCorrupt	Completionist: Profile corrupt, Loading defaults
$ProfileAutoLoadMissing	Completionist: No profile found, Loading defaults
$ProfileAutoLoadOutDate	Completionist: PapyrusUTIL out of date, Loading defaults

$ProfileSaveSuccessMenu	Configuration settings successfully saved to file
$ProfileLoadSuccessMenu	Configuration settings successfully loaded from file

$ProfileLoadSuccess	Completionist:  Configuration profile loaded
$ProfileLoadCorrupt	Completionist: Profile corrupt, Loading defaults
$ProfileLoadMissing	Completionist: No profile found - restoring defaults
$ProfileLoadMissingMenu	No Profile Found
$ProfileLoadDamaged{}	The config file appears to be damaged or does not meet the requirements\n{}
$ProfileLoadOutDate	Completionist - PapyrusUTIL out of date, Loading defaults

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$ReloadMessageMCM	Please exit the MCM and follow on-screen instructions to reset the MCM 
$ReloadInfo	Force reload the MCM using the onscreen prompts.
$ReloadMCM	Reload MCM
$ReloadSetting	Something not working?

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$State_DebuggingText	Developer Debugging:
$State_DebuggingInfo	Enables Developer Debugging\n Default: Disabled

$DebugNoMove	Unable to move quest as the game has registered it as completed
$Debug1{}{}	Quest found in the 'Manual Toggle' array at position {} removing quest from the array.
$Debug2{}{}	Quest not found in the 'Manual Toggle' array, setting array position {} to ({}).
$DebugSelect{}{}	Quest Name: {} \n Quest ID: {}

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$DGFaction	Dawnguard Faction:
$CWFaction	Civil War Faction:
$HRFaction	Helgen Reborn Faction:
$LDFaction	Legacy of the Dragonborn:
$NOFaction	<font color='#6A0404'>Not Installed</font>

$DGFactionInfo	Use this menu to show the correct quests from the faction you joined during the Dawnguard quest 'Bloodline'
$CWFactionInfo	Use this menu to show the correct quests from the faction you joined during the Civil War quest line.
$HRFactionInfo	Use this menu to show the correct quests from the faction you joined during the Helgen Reborn main quest.
$LDFactionInfo	Use this menu to add the start quests from the new life you chose:\n Alternate Start / Vanilla: Any Other Start\n Legacy Start: Solitude Docks\n Legacy Start: GuildMaster Relic Hunter

$MenuChoiceDefault	Make Your Choice!
$MenuChoice01	Imperial
$MenuChoice02	Stormcloaks
$MenuChoice03	Dawnguard
$MenuChoice04	Vampires

$MenuChoice05	Vanilla Start
$MenuChoice06	Solitude Docks Start
$MenuChoice07	GuildMaster Start

$MenuChoice08	Helgen Faction
$MenuChoice09	Imperial Faction
$MenuChoice10	Stormcloaks Faction

$State_RadiantQuestsText	Radiant Quests:
$State_RadiantQuestsInfo	This Menu & Slider lets you control how many times a Radiant (repeatable) quest needs to be completed before being shown as completed in the MCM.
$RadiantChoice01	Favor Quests
$RadiantChoice02	Bounty Quests
$RadiantChoice03	Thieves Guild Quests
$RadiantChoice04	Dawnguard Quests
$RadiantChoice05	Legacy of the Dragonborn Quests
$RadiantChoice06	Vigilant Quests
	
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$BasicViewing	Simple Page Layout:
$BasicViewingInfo	Toggle to Enable/Disable the Simple Page Layout option - Keeping this enabled will only catagorise quests as 'Available' or 'Completed'\nThe 'In Progess' section will be removed from the page for a more streamlined view.\n Default: Enabled
$BasicViewingWarning	You appear to have 'Simple Page Layout' disabled, Creation Club pages are hard coded to use 'Simple Page Layout' and will not show an 'In Progess' section.
$PickFactionErrorMSG	This page requires configuration\n Please use the Menu in the 'Completionist Settings' page to configure this page correctly. 
$NotificationSettingsText	Notification Settings

$ModNotificationsItems	Item Notifications:
$ModNotificationsBooks	Book Notifications:
$ModNotificationsSpecial	Special Notifications:
$ModNotificationsStartup	Startup Notifications:

$ModNotificationsItemsInfo	Receive notifications when the player picks up a unique item tracked by Completionist\n Default: Enabled
$ModNotificationsBooksInfo	Receive notifications when the player reads a book tracked by Completionist for the first time\n Default: Enabled
$ModNotificationsStartupInfo	Enables / Disables the startup notification when loading a saved game\n Default: Enabled
$ModNotificationsSpecialInfo	Receive notifications when the player performs a special action such as activating an undiscovered shrine or standing stone, acquiring a new pet, catching a new fish, learning a new dragon shout or word of power etc.\n Default: Enabled

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$ModNotificationsColour	Notification Colour:
$ModNotificationsColourInfo	Use this option to customize the colour of Completionist's Notifications\n Default: Orange

$ModNotificationsColourEnabled	Notification Colour:
$ModNotificationsColourEnabledInfo	Enables/Disables Notification Colour\n Default: Enabled

$ModNotificationsCustomText1	Notification Colour (Custom):
$ModNotificationsCustomInfo1	Overrides the colour of Completionist's Notifications with a custom colour.\n Example: #ff0000 (Would produce Red - Use an online colour picker to find your favourite colour!)\n Typing the word 'CLEAR' into the box will clear the override and return the colour to default.

$ModNotificationsCustomText2	Completion View Colour (Custom):
$ModNotificationsCustomInfo2	Overrides the MCM display colour for completed entries with a custom colour.\n Example: #ff0000 (Would produce Red - Use an online colour picker to find your favourite colour!)\n Typing the word 'CLEAR' into the box will clear the override and return the colour to default. 

$ModNotificationsCustomText3	Shout Colour 'Learnt' (Custom):
$ModNotificationsCustomInfo3	Overrides the MCM display colour for learnt Dragon Shouts and Words of Power with a custom colour.\n Example: #ff0000 (Would produce Red - Use an online colour picker to find your favourite colour!)\n Typing the word 'CLEAR' into the box will clear the override and return the colour to default.

$ModNotificationsCustomText4	Shout Colour 'Locked' (Custom):
$ModNotificationsCustomInfo4	Overrides the MCM display colour for undiscovered Dragon Shouts and Words of Power with a custom colour.\n Example: #ff0000 (Would produce Red - Use an online colour picker to find your favourite colour!)\n Typing the word 'CLEAR' into the box will clear the override and return the colour to default. 

$StateShout_GotColourText	Shout Colour 'Learnt':
$StateShout_GotColourInfo	Sets the MCM display colour for learnt Dragon Shouts and Words of Power.

$StateShout_NotColourText	Shout Colour 'Locked':
$StateShout_NotColourInfo	Sets the MCM display colour for undiscovered Dragon Shouts and Words of Power.
  
$State_CompletionView_Text	Completion View:
$State_CompletionView_Info	Sets how completed entries in the MCM's are displayed.\n Default: Tick Box & Colour.  

$State_CompletionColourText	Completion View Colour:
$State_CompletionColourInfo	Sets the Text colour for completed entries to match your choice in the 'Completion View' Setting on the left.\n NOTE: Does not affect Dragon Shouts page.

$CompletionViewString0	Tick Box & Colour
$CompletionViewString1	Colour
$CompletionViewString2	Tick Box

$State_ColourSettingsHead	Colour Settings:
$State_ColourOverrideHead	Colour Override:

$ColourError1	Error: 01 - Hex String Contains no Characters   \nHex must start with a '#' and contain 7 characters\n Example: #EAB676
$ColourError2	Error: 02 - Incorrect Hex Format Input          \nHex must start with a '#' and contain 7 characters\n Example: #EAB676
$ColourError3	Error: 03 - Hex String Out Of Range             \nHex must start with a '#' and contain 7 characters\n Example: #EAB676
$ColourError4	Error: 04 - Incorrect Hex String Length         \nHex must start with a '#' and contain 7 characters\n Example: #EAB676
$ColourClear1	Colour Override Cleared Successfully
$ColourClear2	No Colour Override In Place

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$AddSkillBookHighlight{}{}	~~~ {} ~~~\nReading this book increases your {} skill
$AddSpellTomeHighlight{}{}	~~~ {} ~~~\nReading this tome teaches you: '{}'

$AddSkillBookCCHighlight{}{}{}	~~~ {} ~~~\nReading this book increases your {} skill \nSkill Book Added By {}
$AddSpellTomeCCHighlight{}{}{}	~~~ {} ~~~\nReading this tome teaches you: '{}' \nSpell Tome Added By {}
$AddBookCCHighlight{}{}	~~~ {} ~~~\nBook Added By {}

$AddLocationHighlight{}	~~~ {} ~~~\nClick to add a quest marker at this location.
$AddLocationHighlightCC{}{}	~~~ {} ~~~\nClick to add a quest marker at this location.\nLocation Added By {}
$AddItemCCHighlight{}{}	~~~ {} ~~~\nUnique Item Added By {}

$AddFishingDataRod{}{}{}{}	~~~ {} ~~~ \n{} can be caught in {} using the {}.
$AddFishingData{}{}{}	~~~ {} ~~~ \n{} can be caught in {} using any fishing rod.

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$UIIconSettingsText	moreHUD Icon Settings:

$moreHUDText1	Main HUD:
$moreHUDText2	Inventory HUD:
$moreHUDText3	<font color='#6A0404'>Not Installed</font>

$moreHUDChoice1	Show All Icons
$moreHUDChoice2	Show New Icons
$moreHUDChoice3	Show Found Icons
$moreHUDChoice4	Hide All Icons

$moreHUDSettingsInfo1	Use this menu to customize which icons are displayed on the main HUD.\n Default: Show All Icons
$moreHUDSettingsInfo2	Use this menu to customize which icons are displayed in the inventory, crafting and gift menus.\n Default: Show All Icons

$State_moreHUDActiveText	moreHUD Icons:
$State_moreHUDActiveInfo	Controller for displaying moreHUD Icons.\n Default Enabled

$moreHUDBookSettingsText	moreHUD Book Icons:
$moreHUDBookSettingsInfo	Toggle to show / hide moreHUD Icons on Books.

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$BuildPage01	Available Quests (Main)
$BuildPage02	Available Quests (Side)
$BuildPage03	Available Quests (Radiant)

$BuildPage04	Completed Quests (Main)
$BuildPage05	Completed Quests (Side)
$BuildPage06	Completed Quests (Radiant)

$BuildPage07	All Main Quests Completed.
$BuildPage08	All Side Quests Completed.
$BuildPage09	All Radiant Quests Completed.

$BuildPage10	Complete Quests To Fill This Section.

-----------------------------------------------------------------------------------------------------------------------------------------
